"","VIP","Coefficient"
"discount_rate",1.38754900267248,-3402.59003305767
"var_CV",0.182677558317523,447.967486551706
"var_CV_high",0.205702870035706,-504.43085902319
"chance_inaccurate_forecast_i1",0.0609313520285475,-149.417721978646
"chance_inaccurate_forecast_i234",0.211924016927218,519.686545392809
"chance_inaccurate_forecast_extreme_cold_i1234",1.69474765166488,-4155.91194040443
"chance_inaccurate_forecast_extreme_drought_i1234",0.0561125976723117,-137.601025405984
"met_station_esta_i1",0.268771597021201,-659.089917135848
"met_station_main_i1",0.16979417437499,-416.374459054668
"cost_forecasts_access_i1",0.417169701638694,1022.9962806038
"cost_weekly_forecasts_i1234",0.0771454135695606,-189.178338784666
"cost_seasonal_forecasts_i1234",0.377932968817459,-926.778766288891
"cost_cb_translation_staff_i1234",0.0734021890503174,179.999089319499
"cost_cb_commune_i1234",0.73048147683556,-1791.308982693
"leftlet_year1_i1234",0.567931710749646,-1392.69948285227
"village_meeting_launch_i1234",0.256074570230541,627.953880337034
"video_i1234_peryear",0.534454665190015,-1310.60604951188
"cost_print_seasonal_bulletinA0_i1234",0.53930630173141,1322.50338078304
"cost_per_SMS_i123",0.307228188673626,-753.394345455052
"messages_per_time_rice_i123",0.206179566626936,-505.5998289601
"number_times_per_year_rice_i123",0.164002663485027,402.172339206953
"baseline_farm_households_i1234",0.391365629823502,959.7187477732
"baseline_households_i1234",0.0208996496346525,51.2507590033212
"household_increase_rate",0.136192610257668,-333.975677504944
"messages_per_time_animal_i123",0.284632921350066,-697.985540979432
"number_times_per_year_animal_i123",0.135191855642005,331.521596478448
"percent_animal_households_i1234",0.556654088138366,1365.04415232353
"allowance_village_leader_permonth_loud_i34",0.963607368762208,2362.98741335706
"percent_short_distance_i4",0.309348928445417,-758.594888280066
"model_training_i1234",0.347341871470792,-851.762343278543
"model_monitor_i1234",0.194165004596582,-476.13735308552
"field_visit_i1234",0.0123255969734672,30.2252052595108
"SAA_TOT",0.0775270382928157,190.114170583914
"dialogue_village",0.122904822700099,301.39095911468
"cost_community_event",0.387168966842051,949.4275626653
"ME_district_i1234",0.193638875846933,-474.847164100328
"ME_commune_i1234",0.00457446895434622,11.2176524509125
"rice_area_drought_i1234",0.685872257014001,1681.91689170741
"chance_drought_i1234",0.0579025874704892,-141.990493046278
"reduce_loss_drought_i1234",0.159108701376388,-390.171215887384
"rice_profit_no_drought",0.738892611265737,1811.93502337604
"seed_baseline_i1234",0.616114230886642,1510.85412998183
"seed_applied_i1234",1.43164659252452,3510.72748940943
"seed_advice_i1234",0.130107933844038,319.054648208303
"price_seed_i1234",0.0352294699025572,86.3907818242589
"labor_pick_i1234",0.0932637116145848,-228.70412142169
"rate_seed_inno_i1",0.0847368638676081,207.7943250099
"rate_seed_imitation_i1",0.198610618917036,-487.039024268634
"rate_seed_inno_i2",0.402900241299192,-988.00427424238
"rate_seed_imitation_i2",0.0329938148562739,-80.9084402542047
"rate_seed_inno_i3",0.0638998849883113,-156.697249146509
"rate_seed_imitation_i3",0.850938527380269,-2086.69744018569
"rate_seed_inno_i4",0.150304080909881,-368.580256730994
"rate_seed_imitation_i4",0.325955701744691,799.318524851117
"rate_saturated_i12",0.040708237660548,-99.8259834141647
"rate_saturated_i34",0.355798242742632,-872.499315126008
"dis_adoption_i123",0.563211034701556,1381.12329690165
"dis_adoption_i4",0.0614454537628087,-150.678417949459
"effective_rate",3.48891970626224,8555.63543759653
"chance_resow_i1234",0.941445616571327,-2308.64168792715
"chance_resow_advice_i1234",0.167385499856412,-410.467833851516
"resow_fer_area_percentage_i1234",0.155725091045814,-381.873823316464
"labor_seed_fertilize_i1234",0.0280625860700582,-68.8159304499473
"NPK5105_baseline_i1234",0.0364099463212604,89.2855821439614
"NPK5105_applied_i1234",0.416228447224106,1020.68810778722
"NPK5105_price_i1234",0.0120629921292364,29.5812376418689
"N_baseline_i1234",0.411778096164114,1009.77482102677
"N_applied_i1234",0.47441963552263,-1163.38631659641
"N_price_i1234",0.582700799516598,1428.9166932996
"K_baseline_i1234",0.17957289234153,-440.354129844634
"K_applied_i1234",0.0984507162124132,-241.423852481279
"K_price_i1234",0.453066464632827,-1111.02341892297
"rice_area_loss_severe_risks_i1234",0.606571418591231,1487.45295428197
"chance_refertilize_i1234",0.248492884319628,609.361838640086
"chance_refertilize_advice_i1234",0.103489976027991,253.781279274457
"rate_fer_pla_inno_i1",0.763587937400883,1872.49365619456
"rate_fer_pla_immi_i1",0.490408709154347,1202.59521118126
"rate_fer_pla_inno_i2",0.00929360210167671,22.7900548531714
"rate_fer_pla_immi_i2",0.169032971546909,414.507814236377
"rate_fer_pla_inno_i3",0.328384511957343,805.27452741812
"rate_fer_pla_immi_i3",0.247426501244831,-606.746821502142
"rate_fer_pla_inno_i4",0.523999824883406,1284.96837087425
"rate_fer_pla_immi_i4",0.0980054760399688,240.332020935036
"reduced_times_spray_i1234",0.661266146635351,1621.57703649116
"reduced_cost_per_time_spray_i1234",0.320364551551436,785.607735621868
"times_monitor_increased",0.762342088145873,-1869.43854660951
"cost_monitor_pest_increased",0.199572134363424,489.39688180607
"yield_change_i1234",0.0440090521901806,-107.920341593853
"rice_price",0.371113071369096,910.05480552096
"rate_ani_inno_i1",1.42276522764673,3488.9483352643
"rate_ani_immi_i1",0.751704911523566,1843.35373729091
"rate_ani_inno_i2",0.0880306987139661,215.871567397138
"rate_ani_immi_i2",0.0600176318540325,147.177069466324
"rate_ani_inno_i3",0.49894354861418,1223.52460511535
"rate_ani_immi_i3",0.213384964267737,-523.269125071146
"rate_ani_inno_i4",0.188311419367332,-461.783012647568
"rate_ani_immi_i4",0.394044920056351,966.288985094118
"total_buffalo_i1234",0.267243793883237,655.343391629577
"price_buffalo_i1234",2.92590262467716,7174.98775844945
"chance_extreme_cold",6.7038307115308,16439.3383717813
"reduced_death_animal_i1",5.19335935053012,12735.3143782063
"reduced_death_animal_i2",0.100089646098983,245.442886393727
"reduced_death_animal_i3",0.830598833088714,2036.81982077291
"reduced_death_animal_i4",0.314719284571284,771.764239555337
"total_cow_i1234",0.0410509440238533,100.666378422775
"price_cow_i1234",1.20425789384584,2953.11797921279
