"","VIP","Coefficient"
"discount_rate",9.09089744834199,-189.819922906056
"var_CV",0.0537879470573803,-1.12310407434736
"var_CV_high",0.194490944694821,4.06101337493693
"chance_inaccurate_forecast_i1",0.0350711581842287,-0.732293437538504
"chance_inaccurate_forecast_i234",0.181026515061472,-3.7798731454382
"chance_inaccurate_forecast_extreme_cold_i1234",0.0800135744056744,-1.67070089740074
"chance_inaccurate_forecast_extreme_drought_i1234",0.0883343368922022,-1.844440234214
"met_station_esta_i1",0.0568890174226019,-1.18785510041465
"met_station_main_i1",0.12351762151245,-2.57907489620937
"cost_forecasts_access_i1",0.0301353897435367,-0.629233515213105
"cost_weekly_forecasts_i1234",0.0035469021198865,-0.0740600904121929
"cost_seasonal_forecasts_i1234",0.0230269556327265,-0.480807859488337
"cost_cb_translation_staff_i1234",5.97600056779852,124.780196181065
"cost_cb_commune_i1234",0.0901668203582896,-1.88270288894484
"leftlet_year1_i1234",0.0955596617845642,1.99530659497022
"village_meeting_launch_i1234",0.0789145644300129,-1.64775332923836
"video_i1234_peryear",0.100150515551072,-2.09116462361737
"cost_print_seasonal_bulletinA0_i1234",0.0245826218518503,0.513290509684275
"cost_per_SMS_i123",0.0394459061045632,-0.823639128950169
"messages_per_time_rice_i123",0.0350306698277445,0.731448031818101
"number_times_per_year_rice_i123",0.0328176740878013,0.685240197758324
"baseline_farm_households_i1234",0.108812803279602,2.27203508202513
"baseline_households_i1234",0.089108452080509,-1.86060392830469
"household_increase_rate",0.0279981329726902,0.584607127358899
"messages_per_time_animal_i123",0.129192036668266,2.69755792316404
"number_times_per_year_animal_i123",0.0872751626391163,-1.82232444463357
"percent_animal_households_i1234",0.184495255265201,3.85230119798135
"allowance_village_leader_permonth_loud_i34",0.0799855941609958,-1.67011666378487
"percent_short_distance_i4",0.0661738152165763,-1.38172370485831
"model_training_i1234",0.0184593577126343,0.385435417990178
"model_monitor_i1234",0.146515169366306,3.05926871485634
"field_visit_i1234",0.175908038332157,-3.67299823416833
"SAA_TOT",0.140878177154405,2.94156708713857
"dialogue_village",0.045461599362104,0.949248117156402
"cost_community_event",0.115922709711699,-2.42049148013973
"ME_district_i1234",0.143917311909289,3.00502488414391
"ME_commune_i1234",0.0136585459167563,-0.285193419864213
"rice_area_drought_i1234",0.0457045437635786,0.954320849284381
"chance_drought_i1234",0.262701646444254,5.48526771517336
"reduce_loss_drought_i1234",0.0775006109669739,-1.61822967231978
"rice_profit_no_drought",0.0120828431695019,-0.252292402587724
"seed_baseline_i1234",0.162321819890384,3.38931502776801
"seed_applied_i1234",0.0626296514280201,1.30772079140197
