"","VIP","Coefficient"
"discount_rate",1.1824112751395,32944.4238199622
"var_CV",0.0273561129501043,762.197890060431
"var_CV_high",0.0928743536890462,2587.67159470466
"chance_inaccurate_forecast_i1",0.156177957752302,-4351.44094081897
"chance_inaccurate_forecast_i234",0.36275511993012,10107.1079624381
"chance_inaccurate_forecast_extreme_cold_i1234",0.0837880608354587,2334.50868175327
"chance_inaccurate_forecast_extreme_drought_i1234",0.0371055606702328,1033.83766926042
"met_station_esta_i1",0.0257042736063705,-716.174229286362
"met_station_main_i1",0.013783217127189,384.028938312605
"cost_forecasts_access_i1",0.00128719720412006,35.8639765401413
"cost_weekly_forecasts_i1234",0.141195970352502,3934.01178317995
"cost_seasonal_forecasts_i1234",0.236286758652644,6583.43783061389
"cost_cb_translation_staff_i1234",0.116669154279757,-3250.64395622867
"cost_cb_commune_i1234",0.105021929498916,2926.12818276302
"leftlet_year1_i1234",0.0971911937882719,-2707.94768880324
"village_meeting_launch_i1234",0.118028254001625,3288.51128563613
"video_i1234_peryear",0.197229463052763,5495.22078925305
"cost_print_seasonal_bulletinA0_i1234",0.119429717068389,-3327.55894545659
"cost_per_SMS_i123",0.0667952080261778,-1861.05265454046
"messages_per_time_rice_i123",0.117960662202088,-3286.62803829446
"number_times_per_year_rice_i123",0.110759356911483,-3085.98477774821
"baseline_farm_households_i1234",0.0351652483399326,-979.776554404287
"baseline_households_i1234",0.102351352357125,-2851.72037978205
"household_increase_rate",0.0979558432448356,2729.25240426086
"messages_per_time_animal_i123",0.0781507914301085,-2177.44269601557
"number_times_per_year_animal_i123",0.0270986463994573,-755.02433941666
"percent_animal_households_i1234",0.163536075548753,4556.4533221284
"allowance_village_leader_permonth_loud_i34",0.0866994144615603,-2415.62501560822
"percent_short_distance_i4",0.0593074329990764,-1652.42775460262
"model_training_i1234",0.23965094030554,-6677.17088992294
"model_monitor_i1234",0.174124318599604,-4851.46367420312
"field_visit_i1234",0.0383014445682881,-1067.15746822154
"SAA_TOT",0.0348027645794694,-969.677007077875
"dialogue_village",0.0374317409238524,1042.92572579615
"cost_community_event",0.064676532279125,1802.02196596744
"ME_district_i1234",0.0490571152529393,-1366.83270048054
"ME_commune_i1234",0.195215361918728,5439.1037657004
"rice_area_drought_i1234",0.0695676040567711,-1938.29734236524
"chance_drought_i1234",0.198424940866639,5528.52927386896
"reduce_loss_drought_i1234",0.143054288045073,-3985.78835783158
"rice_profit_no_drought",0.228271491777554,6360.11591672914
"seed_baseline_i1234",0.0267102531261926,-744.202899472471
"seed_applied_i1234",0.17101604484909,4764.86073837327
"seed_advice_i1234",0.178073533507269,4961.49697007039
"price_seed_i1234",0.0455910697225593,-1270.26150284996
"labor_pick_i1234",0.116529345226668,-3246.74858682914
"rate_seed_inno_i1",0.00794112912421177,221.256282799072
"rate_seed_imitation_i1",0.0606440557126713,1689.66882806824
"rate_seed_inno_i2",0.173068957793794,-4822.05913924933
"rate_seed_imitation_i2",0.223912073225143,6238.65349885572
"rate_seed_inno_i3",0.0315603066283959,879.335421874394
"rate_seed_imitation_i3",0.204264284563105,-5691.22546732678
"rate_seed_inno_i4",0.0609910818342971,1699.33769360413
"rate_seed_imitation_i4",0.0853572109608883,-2378.22844987135
"rate_saturated_i12",0.0156533974054969,436.13602913939
"rate_saturated_i34",0.0759131873415571,2115.09841785751
"dis_adoption_i123",0.385343277123271,10736.4607430899
"dis_adoption_i4",0.117410501957891,-3271.29943594195
"effective_rate",2.60264180248895,-72514.9839108478
"chance_resow_i1234",0.0324053645254127,-902.88048279953
"chance_resow_advice_i1234",0.110101405044664,3067.65287783371
"resow_fer_area_percentage_i1234",0.38485136306514,-10722.7549999574
"labor_seed_fertilize_i1234",0.165431702979145,4609.26942324704
"NPK5105_baseline_i1234",4.13952749782472,-115335.798270898
"NPK5105_applied_i1234",1.2159927374331,33880.0728192191
"NPK5105_price_i1234",0.241627052635732,-6732.22946682465
"N_baseline_i1234",7.73220089474198,-215435.110179761
"N_applied_i1234",2.74460306093569,76470.318203252
"N_price_i1234",1.04708673122005,-29174.0021216409
"K_baseline_i1234",1.99999725186949,-55724.0602231018
"K_applied_i1234",2.95909891036142,82446.616230578
"K_price_i1234",0.843456726307249,23500.4489973131
"rice_area_loss_severe_risks_i1234",1.01610741251742,28310.8542250916
"chance_refertilize_i1234",0.505029172680701,-14071.1573511297
