"","VIP","Coefficient"
"discount_rate",2.12692512059933,-191011.471605249
"var_CV",0.0601099834584147,-5398.26075086442
"var_CV_high",0.00302776121208545,271.912310964087
"chance_inaccurate_forecast_i1",0.168241211021454,15109.1361847293
"chance_inaccurate_forecast_i234",0.525779230293883,-47218.3357774298
"chance_inaccurate_forecast_extreme_cold_i1234",0.234206370695449,-21033.2291873332
"chance_inaccurate_forecast_extreme_drought_i1234",0.152855397058993,-13727.3917413771
"met_station_esta_i1",0.114930811008396,-10321.5214916981
"met_station_main_i1",0.243948444616041,-21908.1296988919
"cost_forecasts_access_i1",0.0939079301284305,-8433.53240577641
"cost_weekly_forecasts_i1234",0.0800358994723921,-7187.73537977845
"cost_seasonal_forecasts_i1234",0.0972811995002082,-8736.47355804539
"cost_cb_translation_staff_i1234",0.00792484436970602,-711.70168175623
"cost_cb_commune_i1234",0.0586561714152683,-5267.69913630199
"leftlet_year1_i1234",0.0706137050557413,6341.56209241416
"village_meeting_launch_i1234",0.150049756018151,-13475.427241632
"video_i1234_peryear",0.052986105893495,-4758.49100813484
"cost_print_seasonal_bulletinA0_i1234",0.0128173445200258,1151.07946919717
"cost_per_SMS_i123",0.0844510911924923,-7584.2478191247
"messages_per_time_rice_i123",0.0650431313741575,5841.28896746984
"number_times_per_year_rice_i123",0.0218573240006303,-1962.92741210216
"baseline_farm_households_i1234",0.195661167269467,17571.6235302211
"baseline_households_i1234",0.309025644533504,27752.4782393242
"household_increase_rate",0.194010604809556,17423.3924705611
"messages_per_time_animal_i123",0.0481126211860393,-4320.82092901401
"number_times_per_year_animal_i123",0.00112824684903401,101.32377904646
"percent_animal_households_i1234",0.0169944602945957,1526.21116680073
"allowance_village_leader_permonth_loud_i34",0.0665796205833613,-5979.27552003494
"percent_short_distance_i4",0.0591003720412452,5307.59119194329
"model_training_i1234",0.14345882139499,12883.5191817613
"model_monitor_i1234",0.370440985336152,33267.9684238335
"field_visit_i1234",0.209024962378721,-18771.7777553639
"SAA_TOT",0.0536380392287434,-4817.0387889421
"dialogue_village",0.0116800761873575,-1048.94550325303
"cost_community_event",0.125805032111013,11298.0960571375
"ME_district_i1234",0.0243409881502667,-2185.97632886965
"ME_commune_i1234",0.11252266723893,-10105.2547878128
"rice_area_drought_i1234",0.558276611982734,50136.8083835344
"chance_drought_i1234",0.484829595525423,43540.7968161066
"reduce_loss_drought_i1234",0.214682374815975,19279.84955566
"rice_profit_no_drought",0.167485254923317,15041.2464948782
"seed_baseline_i1234",1.9499813694385,175120.791687443
"seed_applied_i1234",1.00034934870933,-89837.7659682154
"seed_advice_i1234",0.0577391448837955,-5185.34429193948
"price_seed_i1234",0.2632496162751,23641.4982912303
"labor_pick_i1234",0.558990153636301,50200.8889851406
"rate_seed_inno_i1",0.0764937773086785,-6869.63016744928
