"","VIP","Coefficient"
"discount_rate",2.56305080459017,-8.78096579574709
"var_CV",0.123021268265383,0.421468644653138
"var_CV_high",0.0490554840965036,0.168063203106928
"chance_inaccurate_forecast_i1",0.0423022452104226,0.144926728573147
"chance_inaccurate_forecast_i234",0.485813747900583,-1.66438913180296
"chance_inaccurate_forecast_extreme_cold_i1234",0.0872892287340047,-0.299051322150049
"chance_inaccurate_forecast_extreme_drought_i1234",0.171818733257128,-0.588647878964177
"met_station_esta_i1",0.0173685915300902,-0.0595044810945178
"met_station_main_i1",0.100912333457108,-0.345723833046522
"cost_forecasts_access_i1",0.0275502832832216,-0.0943867732702996
"cost_weekly_forecasts_i1234",0.101631211968589,-0.34818669785174
"cost_seasonal_forecasts_i1234",0.178050635609046,-0.609998263941575
"cost_cb_translation_staff_i1234",0.0621070751276963,0.212777718410228
"cost_cb_commune_i1234",0.0904936616831014,-0.310029651596501
"leftlet_year1_i1234",0.123499121041462,0.423105759639167
"village_meeting_launch_i1234",0.213400694507411,-0.731106927690368
"video_i1234_peryear",0.0599705784126826,-0.205458119226449
"cost_print_seasonal_bulletinA0_i1234",0.0524337731408581,-0.179637160397785
"cost_per_SMS_i123",0.149649215085492,0.512695509848162
"messages_per_time_rice_i123",0.078537100756306,0.26906668966655
"number_times_per_year_rice_i123",0.0598826010093498,-0.205156710230545
"baseline_farm_households_i1234",0.163422903153517,0.559883916566445
"baseline_households_i1234",0.21006310264789,0.719672398220203
"household_increase_rate",0.668191117330822,-2.28921070772226
"messages_per_time_animal_i123",0.0342619585393158,-0.117380851557932
"number_times_per_year_animal_i123",0.0356831267044248,-0.122249748040779
"percent_animal_households_i1234",0.0468061210500021,-0.160356925908609
"allowance_village_leader_permonth_loud_i34",0.0518215043161084,-0.177539538455099
"percent_short_distance_i4",0.122208508233524,0.418684143453581
"model_training_i1234",0.198863884276469,0.681304078215608
"model_monitor_i1234",0.228705408711349,0.783540602316632
"field_visit_i1234",0.0849490601727082,-0.291033946897001
"SAA_TOT",0.0615497216858552,0.210868235578212
"dialogue_village",0.0663712381450362,-0.227386663943299
"cost_community_event",0.102805472467458,0.352209693126514
"ME_district_i1234",0.00980532327893466,-0.0335928605762987
"ME_commune_i1234",0.0814083826229668,-0.278903649517656
"rice_area_drought_i1234",0.627266098467068,2.14900233175509
"chance_drought_i1234",0.628707998304046,2.15394225457157
"reduce_loss_drought_i1234",0.166014310800737,0.568762032393225
"rice_profit_no_drought",0.0180885755823594,-0.0619711334625228
"seed_baseline_i1234",1.93519340172787,6.62993766580643
"seed_applied_i1234",1.15286518979572,-3.94969533205268
"seed_advice_i1234",0.208470627965632,-0.714216608701532
"price_seed_i1234",0.301995671402568,1.03463171947294
"labor_pick_i1234",0.485579240928533,1.66358571514936
"rate_seed_inno_i1",0.0212560339657171,-0.0728227887141102
"rate_seed_imitation_i1",0.0243091414379002,0.0832826798079452
"rate_seed_inno_i2",1.20073642199839,4.11370130954602
"rate_seed_imitation_i2",0.325584729833541,1.11544740789601
"rate_seed_inno_i3",0.0348288709063305,-0.119323083095062
"rate_seed_imitation_i3",0.0887186791967287,-0.303948593635037
"rate_seed_inno_i4",0.0450419678455801,0.154312968871649
"rate_seed_imitation_i4",0.264197450877881,0.905135698179496
"rate_saturated_i12",0.0294770013142328,0.100987674469004
"rate_saturated_i34",0.14299001442821,-0.489881208588944
"dis_adoption_i123",0.750580351734703,-2.57147473773783
"dis_adoption_i4",0.178994371833015,0.613231487211295
"effective_rate",4.04485505895675,13.8576004259631
"chance_resow_i1234",0.0811673625650542,0.278077919149444
"chance_resow_advice_i1234",0.0708911078192967,-0.242871655867703
"resow_fer_area_percentage_i1234",0.066942520771668,0.229343867910998
"labor_seed_fertilize_i1234",0.150345891657006,-0.515082311207779
"NPK5105_baseline_i1234",1.61292284478692,5.52584455442259
"NPK5105_applied_i1234",0.403332732913515,-1.38181066316595
"NPK5105_price_i1234",0.236392922366329,0.809877885345837
"N_baseline_i1234",2.95655797354656,10.1291142541386
"N_applied_i1234",1.35425100880946,-4.63963951315952
"N_price_i1234",0.366509238590005,1.2556540362448
"K_baseline_i1234",0.663544914726105,2.27329290145831
