"","VIP","Coefficient"
"discount_rate",1.46642128089985,33250.6529543932
"var_CV",0.0436802872857197,990.437122267085
"var_CV_high",0.192539702301809,4365.77871895795
"chance_inaccurate_forecast_i1",0.225333277591409,-5109.3629844694
"chance_inaccurate_forecast_i234",0.0445315066655049,1009.73826072842
"chance_inaccurate_forecast_extreme_cold_i1234",0.00525975606071714,119.263356088472
"chance_inaccurate_forecast_extreme_drought_i1234",0.0248970713433843,-564.533459519658
"met_station_esta_i1",0.0816653904558547,1851.73769079944
"met_station_main_i1",0.0452111485030871,-1025.14893102424
"cost_forecasts_access_i1",0.127296691839395,2886.41345957332
"cost_weekly_forecasts_i1234",0.0744592858778891,1688.34147881323
"cost_seasonal_forecasts_i1234",0.132993469955355,3015.58615677785
"cost_cb_translation_staff_i1234",0.0632073929148286,-1433.20825559301
"cost_cb_commune_i1234",0.0370870924244866,-840.938450195834
"leftlet_year1_i1234",0.0267011310707174,605.439960730374
"village_meeting_launch_i1234",0.060459766551389,1370.90667019661
"video_i1234_peryear",0.255220942191101,-5787.05661601014
"cost_print_seasonal_bulletinA0_i1234",0.225977376917462,-5123.96773921328
"cost_per_SMS_i123",0.0652127817358417,-1478.67983227745
"messages_per_time_rice_i123",0.117551845550677,-2665.45205764846
"number_times_per_year_rice_i123",0.0414875377245117,940.717198241648
"baseline_farm_households_i1234",0.0703468405166966,-1595.09304108256
"baseline_households_i1234",0.203438203922219,-4612.89890182981
"household_increase_rate",0.140492409928922,-3185.62232157894
"messages_per_time_animal_i123",0.00302113678042121,-68.5033502459102
"number_times_per_year_animal_i123",0.0208346210286244,-472.418644138872
"percent_animal_households_i1234",0.0551270969061569,-1249.99002093384
"allowance_village_leader_permonth_loud_i34",0.0564260951833062,1279.4444086084
"percent_short_distance_i4",0.0514447812767741,1166.49464299851
"model_training_i1234",0.382704797522142,-8677.71395037409
"model_monitor_i1234",0.0591166940173854,-1340.45291226061
"field_visit_i1234",0.0328774665952666,745.486475147198
"SAA_TOT",0.105943531601392,-2402.23709784068
"dialogue_village",0.0538657798298991,-1221.39004293682
"cost_community_event",0.0367257404218064,-832.744904321948
"ME_district_i1234",0.137821219691615,-3125.05390190805
"ME_commune_i1234",0.0876412077755363,1987.23751639775
"rice_area_drought_i1234",0.00204054540280158,46.2687413978355
"chance_drought_i1234",0.28259718092136,-6407.80443593941
"reduce_loss_drought_i1234",0.266928223420146,6052.51562854411
"rice_profit_no_drought",0.255329031170177,-5789.50750047172
"seed_baseline_i1234",0.171059871509567,-3878.73014124388
"seed_applied_i1234",0.192700688678276,-4369.42903568754
"seed_advice_i1234",0.0176411592971735,400.00787846146
"price_seed_i1234",0.00208248973925015,-47.2198163670953
"labor_pick_i1234",0.134391487633586,-3047.28577901359
"rate_seed_inno_i1",0.0154013973451369,349.221962887509
"rate_seed_imitation_i1",0.134527267244162,-3050.36454005474
"rate_seed_inno_i2",0.00952114693694204,215.889087707303
"rate_seed_imitation_i2",0.176866407741092,-4010.39157006812
"rate_seed_inno_i3",0.0578800360304222,-1312.41207155312
"rate_seed_imitation_i3",0.131388271126074,2979.18876546172
"rate_seed_inno_i4",0.0130980360550565,296.993951822333
"rate_seed_imitation_i4",0.144759778851942,-3282.38360357603
"rate_saturated_i12",0.327498491653938,-7425.92789051052
"rate_saturated_i34",0.0125297203832446,284.107568203865
