"","VIP","Coefficient"
"discount_rate",2.60783908405751,-183969.201370389
"var_CV",0.0493648068107257,3482.42502395614
"var_CV_high",0.0520538461870415,3672.12247482211
"chance_inaccurate_forecast_i1",0.013655595578339,963.329765299522
"chance_inaccurate_forecast_i234",0.482776390942604,-34057.3111374654
"chance_inaccurate_forecast_extreme_cold_i1234",0.0930891319402492,-6566.94401276669
"chance_inaccurate_forecast_extreme_drought_i1234",0.161177178465377,-11370.1941897709
"met_station_esta_i1",0.0532732555130347,-3758.14532846289
"met_station_main_i1",0.106956126691253,-7545.1868672991
"cost_forecasts_access_i1",0.0139463628675095,-983.841853756337
"cost_weekly_forecasts_i1234",0.101330894528385,-7148.35660470643
"cost_seasonal_forecasts_i1234",0.16783334472195,-11839.7513790531
"cost_cb_translation_staff_i1234",0.0674666163801205,4759.41157968298
"cost_cb_commune_i1234",0.0884048613895239,-6236.49359598753
"leftlet_year1_i1234",0.14508885075379,10235.2480887711
"village_meeting_launch_i1234",0.226132841414425,-15952.4713364988
"video_i1234_peryear",0.0721525506037465,-5089.9793597522
"cost_print_seasonal_bulletinA0_i1234",0.0642539940364689,-4532.77813037265
"cost_per_SMS_i123",0.132998975581976,9382.37158514664
"messages_per_time_rice_i123",0.0925770279378444,6530.81779435201
"number_times_per_year_rice_i123",0.0422815315352695,-2982.73756107603
"baseline_farm_households_i1234",0.174474701793414,12308.2638589534
"baseline_households_i1234",0.223818629716877,15789.2159882671
"household_increase_rate",0.375440428354887,26485.3288643642
"messages_per_time_animal_i123",0.0330364322241413,-2330.54489042554
"number_times_per_year_animal_i123",0.0494868845636838,-3491.0369612701
"percent_animal_households_i1234",0.0243985077468797,-1721.18518058215
"allowance_village_leader_permonth_loud_i34",0.0527154311374437,-3718.79378046678
"percent_short_distance_i4",0.147629320884802,10414.4647681916
"model_training_i1234",0.157877558262225,11137.4235033775
"model_monitor_i1234",0.216997722255215,15308.0371816396
"field_visit_i1234",0.0976760037146368,-6890.52346300237
"SAA_TOT",0.089629743893778,6322.90255329543
"dialogue_village",0.0503361163323221,-3550.94575365298
"cost_community_event",0.121919118911489,8600.74652421823
"ME_district_i1234",9.79230069471662e-05,6.90794822962319
"ME_commune_i1234",0.0572440361150949,-4038.26281755331
"rice_area_drought_i1234",0.610857133451261,43092.72749206
"chance_drought_i1234",0.617510317113402,43562.0742751407
"reduce_loss_drought_i1234",0.141347648188588,9971.32611126391
"rice_profit_no_drought",0.0365087626645679,-2575.49936707426
"seed_baseline_i1234",1.93994823756172,136853.048236719
"seed_applied_i1234",1.13530037040109,-80089.4133901976
"seed_advice_i1234",0.179291796043032,-12648.0842824779
"price_seed_i1234",0.308236473867966,21744.4466866745
"labor_pick_i1234",0.505410412843677,35654.0212099526
"rate_seed_inno_i1",0.00854760792099621,-602.988356323832
"rate_seed_imitation_i1",0.0367377745289654,2591.65493819639
"rate_seed_inno_i2",1.20332689562354,84888.3235659378
"rate_seed_imitation_i2",0.327647002197594,23113.7564024499
"rate_seed_inno_i3",0.0637996658458273,-4500.7276887241
"rate_seed_imitation_i3",0.0689148432643337,-4861.5762971767
"rate_seed_inno_i4",0.0681828417968882,4809.93748012271
"rate_seed_imitation_i4",0.264931700820884,18689.5248697186
"rate_saturated_i12",0.0285125511115445,2011.40909693781
"rate_saturated_i34",0.135008076215569,-9524.10296776699
"dis_adoption_i123",0.741685902450754,-52322.0025252649
"dis_adoption_i4",0.161063338419456,11362.1633789513
"effective_rate",4.0153583166061,283262.210171586
"chance_resow_i1234",0.108359783192823,7644.20738093841
"chance_resow_advice_i1234",0.0952694819126175,-6720.75612700974
"resow_fer_area_percentage_i1234",0.0719609357759914,5076.4619510101
"labor_seed_fertilize_i1234",0.171361664577868,-12088.6556116955
"NPK5105_baseline_i1234",1.60538352972282,113251.284430006
"NPK5105_applied_i1234",0.394131701108834,-27803.8989180768
"NPK5105_price_i1234",0.242032850947318,17074.1325898445
"N_baseline_i1234",2.93926160789072,207349.300778551
"N_applied_i1234",1.33469927680931,-94155.9475526403
"N_price_i1234",0.379755974855067,26789.7677570736
"K_baseline_i1234",0.635983376929676,44865.2505646761
"K_applied_i1234",1.18322890048172,-83470.5167165849
"K_price_i1234",0.48747617150316,-34388.8557030896
"rice_area_loss_severe_risks_i1234",1.02510565454095,-72315.7612519351
"chance_refertilize_i1234",0.0200468302343611,1414.1974367855
"chance_refertilize_advice_i1234",0.131719607810886,9292.11898154647
"rate_fer_pla_inno_i1",0.169431573869315,-11952.497959793
"rate_fer_pla_immi_i1",0.136807548561766,-9651.04618770789
"rate_fer_pla_inno_i2",3.07904189545307,217210.057919348
"rate_fer_pla_immi_i2",0.982382694121648,69301.8832268047
"rate_fer_pla_inno_i3",0.109046216248123,-7692.63158845558
"rate_fer_pla_immi_i3",0.120811159654253,-8522.58588119749
"rate_fer_pla_inno_i4",0.119441630852584,8425.97289558919
"rate_fer_pla_immi_i4",0.0587851504720037,4146.98025307077
"reduced_times_spray_i1234",2.48677254284166,175428.599675939
"reduced_cost_per_time_spray_i1234",0.956704583858035,67490.4288825636
"times_monitor_increased",0.539533785863849,-38061.2440025559
"cost_monitor_pest_increased",0.325779422893757,-22982.0085982533
"yield_change_i1234",0.454110466060695,32035.0823353481
"rice_price",0.224328812086066,15825.2066456611
"rate_ani_inno_i1",0.010470588034963,-738.644393531153
"rate_ani_immi_i1",0.0111565553389983,-787.035744769446
"rate_ani_inno_i2",0.0710999259662017,5015.7222803581
"rate_ani_immi_i2",0.106954929704146,7545.10242621393
"rate_ani_inno_i3",0.0113920064432739,-803.645570076594
"rate_ani_immi_i3",0.091295872802048,-6440.43910166161
"rate_ani_inno_i4",0.0803412998025705,5667.65213854428
"rate_ani_immi_i4",0.161723545532659,11408.737485497
"total_buffalo_i1234",0.104883854897021,-7398.99909469535
"price_buffalo_i1234",0.273374979165643,19285.1533283643
"chance_extreme_cold",0.0846371247280903,5970.69977887079
"reduced_death_animal_i1",0.139550295648075,9844.53243235922
"reduced_death_animal_i2",0.18657721050837,-13162.0315919703
"reduced_death_animal_i3",0.0251218642005748,-1772.21413781571
"reduced_death_animal_i4",0.106653861744696,7523.86368015906
"total_cow_i1234",0.140220846011508,9891.83620029239
"price_cow_i1234",0.205831918162264,14520.348986384
"area_pond_impacted_i1234",0.270202406781503,-19061.345191057
"chance_reduced_risk_fish_death",0.0264036362387072,1862.63634969055
"lost_fish_i1234",0.0507779456116976,-3582.11446347318
"reduced_water_expenditure_i1234",0.0780504056213973,-5506.0417172913
"percent_pollution_reduction_i1234",3.98706709976859,281266.415032533
"new_income_farm_peryear_i12",1.07724191698124,75993.6977558449
"rate_farm",1.05102480766618,74144.2198902752
"new_income_nonfarm_peryear_i12",3.21538877522092,226828.606369511
"rate_nonfarm",2.33565541769323,164768.088835028
"gender_coverage",1.11404603600647,78590.0329460045
"reduced_expenditure_health_i1234",4.17575539892469,294577.372720028
"methan_reduction_co2eq",0.0499552379261303,-3524.07680432452
"nito_oxide_reduction_co2eq",0.05149705095577,3632.84352749363
"carbon_price",0.0931321758583814,6569.98053265438
