"","VIP","Coefficient"
"discount_rate",4.44371715807762,-21870.8383161569
"var_CV",0.0710638589994556,-349.758122538032
"var_CV_high",0.0629372941354118,309.761250575967
"chance_inaccurate_forecast_i1",0.143827709161129,-707.883166400066
"chance_inaccurate_forecast_i234",0.147743209565368,-727.154257070702
"chance_inaccurate_forecast_extreme_cold_i1234",0.159472646482659,-784.883542988757
"chance_inaccurate_forecast_extreme_drought_i1234",0.204223002963917,1005.13334205909
"met_station_esta_i1",0.191658969903778,-943.296387572089
"met_station_main_i1",0.230221396034808,-1133.09077749122
"cost_forecasts_access_i1",0.13571248599884,-667.942115390707
"cost_weekly_forecasts_i1234",0.155525959999701,765.458962421915
"cost_seasonal_forecasts_i1234",0.0507135509304926,249.599115646419
"cost_cb_translation_staff_i1234",0.072428229232714,356.473203564449
"cost_cb_commune_i1234",0.00795117031632109,-39.1336248969803
"leftlet_year1_i1234",0.0729191793458891,358.889534344421
"village_meeting_launch_i1234",0.0409368529486939,-201.480710892162
"video_i1234_peryear",0.0101332639141999,-49.8733309971263
"cost_print_seasonal_bulletinA0_i1234",0.183839810613736,-904.812487153285
"cost_per_SMS_i123",3.78862685839326,18646.6515560173
"messages_per_time_rice_i123",8.39583327579905,41322.142155386
"number_times_per_year_rice_i123",2.1991314104947,10823.5618523747
"baseline_farm_households_i1234",0.0617033202295623,303.68794689323
"baseline_households_i1234",0.0562153096483619,276.677363674492
"household_increase_rate",2.06999137285725,10187.9676453543
"messages_per_time_animal_i123",1.07965028147767,5313.76230849188
"number_times_per_year_animal_i123",1.68227505583851,8279.72718350615
"percent_animal_households_i1234",0.813993348192932,4006.26688770993
"allowance_village_leader_permonth_loud_i34",0.0750926652637164,-369.586875646811
"percent_short_distance_i4",0.0822744352494622,404.933709073542
"model_training_i1234",0.264001329949474,1299.34696497947
"model_monitor_i1234",0.0178766059829347,87.9840784609136
"field_visit_i1234",0.178611697122691,-879.081050881893
"SAA_TOT",0.0774689236092713,381.282210931277
"dialogue_village",0.0506014599505717,249.047432537135
"cost_community_event",0.128067060311525,630.3132872909
"ME_district_i1234",0.230939416099419,-1136.62468844509
"ME_commune_i1234",0.0386368995746943,-190.160929144575
"rice_area_drought_i1234",0.0853655288297817,-420.147280394657
"chance_drought_i1234",0.342744037194517,1686.89841289337
"reduce_loss_drought_i1234",0.0822880412979602,-405.000674561271
"rice_profit_no_drought",0.0467580889730353,-230.131344440503
"seed_baseline_i1234",0.0880945370707614,433.578760364852
"seed_applied_i1234",0.165059710262772,812.381640696163
"seed_advice_i1234",0.0607335823074122,-298.915145081162
"price_seed_i1234",0.0694117360791278,341.626796446941
"labor_pick_i1234",0.121788135028488,599.410024373975
"rate_seed_inno_i1",0.0648334338127143,-319.093564679655
"rate_seed_imitation_i1",0.0280991107345586,138.296630015305
"rate_seed_inno_i2",0.0506098479251981,249.088716001029
"rate_seed_imitation_i2",0.141422893287369,696.047278272148
"rate_seed_inno_i3",0.100654607147277,-495.396210060932
"rate_seed_imitation_i3",0.0199035953271022,-97.960401129037
"rate_seed_inno_i4",0.0630457210248746,-310.294899969978
