"","VIP","Coefficient"
"discount_rate",4.33944325390359,-21350.9388133028
"var_CV",0.114373577925467,-562.741144719076
"var_CV_high",0.0405014406979751,199.275282932941
"chance_inaccurate_forecast_i1",0.0390424592711714,192.096799115827
"chance_inaccurate_forecast_i234",0.168843454413702,-830.743957988335
"chance_inaccurate_forecast_extreme_cold_i1234",0.0601027186268821,-295.71753629025
"chance_inaccurate_forecast_extreme_drought_i1234",0.0237782469864273,-116.993786250832
"met_station_esta_i1",0.117746208864372,579.335171326435
"met_station_main_i1",0.0953795480200331,-469.286674502381
"cost_forecasts_access_i1",0.0807946552438417,397.526051066893
"cost_weekly_forecasts_i1234",0.0612287832667943,301.258002156456
"cost_seasonal_forecasts_i1234",0.0377659976146836,-185.816349498083
"cost_cb_translation_staff_i1234",0.335415305383957,-1650.311167419
"cost_cb_commune_i1234",0.0893485718570245,-439.613051526657
"leftlet_year1_i1234",0.0336772669692723,165.698967445508
"village_meeting_launch_i1234",0.0139147757599984,68.4635121303413
"video_i1234_peryear",0.00110544600581645,-5.43901801466474
"cost_print_seasonal_bulletinA0_i1234",0.192620336072625,-947.731026551594
"cost_per_SMS_i123",3.7028783603954,18218.9107404011
"messages_per_time_rice_i123",8.47473285668562,41697.4003564656
"number_times_per_year_rice_i123",2.08275177579921,10247.5601422796
"baseline_farm_households_i1234",0.0427594721162741,210.385254380833
"baseline_households_i1234",0.0865319182088249,425.754545681033
"household_increase_rate",2.07363435696859,10202.7005968961
"messages_per_time_animal_i123",1.01560546491621,4996.98437590488
"number_times_per_year_animal_i123",1.93968372040678,9543.63636263946
"percent_animal_households_i1234",0.795908137385072,3916.02907286135
"allowance_village_leader_permonth_loud_i34",0.0246148375273855,-121.109980980587
"percent_short_distance_i4",0.24464158850475,1203.68611403213
"model_training_i1234",0.0694538586472072,-341.727037216201
"model_monitor_i1234",0.145350225473785,-715.152518194334
"field_visit_i1234",0.0833574672301918,-410.135604576168
"SAA_TOT",0.216064176200974,-1063.07946339979
"dialogue_village",0.126117623880082,-620.524227000896
"cost_community_event",0.00663285107433383,-32.6349693174253
"ME_district_i1234",0.0680758077678409,-334.946748067242
"ME_commune_i1234",0.0432124744052212,212.614117298881
"rice_area_drought_i1234",0.0808236921841088,397.668918688082
"chance_drought_i1234",0.0212018523845799,-104.317403525125
"reduce_loss_drought_i1234",0.103652672212113,-509.992119437294
"rice_profit_no_drought",0.0159528528251121,78.491263656967
"seed_baseline_i1234",0.0659544026527931,-324.509005675089
"seed_applied_i1234",0.0360379774075956,-177.314140447073
"seed_advice_i1234",0.125141417218391,615.721092708458
"price_seed_i1234",0.0652619910781208,321.102200631342
"labor_pick_i1234",0.269481317699075,1325.90260751662
"rate_seed_inno_i1",0.0946517305520765,465.705665299964
"rate_seed_imitation_i1",0.0982756554854489,483.536109204683
"rate_seed_inno_i2",0.123607671621398,608.174754046899
"rate_seed_imitation_i2",0.0371183605129333,-182.629843920379
