"","VIP","Coefficient"
"discount_rate",2.17126939263814,59993.3995825411
"var_CV",0.0136881780230045,-378.212089423547
"var_CV_high",0.242524650526834,6701.09306427152
"chance_inaccurate_forecast_i1",0.244913065989829,-6767.08633241523
"chance_inaccurate_forecast_i234",0.219728011070616,6071.20904127873
"chance_inaccurate_forecast_extreme_cold_i1234",0.0930623364439656,2571.36491459684
"chance_inaccurate_forecast_extreme_drought_i1234",0.0835635933733304,-2308.90927896698
"met_station_esta_i1",0.107509966140446,2970.56108267269
"met_station_main_i1",0.0494097625872144,1365.21964534838
"cost_forecasts_access_i1",0.0636117467734431,1757.62848924321
"cost_weekly_forecasts_i1234",0.0934547614753994,2582.20783984454
"cost_seasonal_forecasts_i1234",0.0190168478182805,525.446245330375
"cost_cb_translation_staff_i1234",0.0881381648357227,-2435.30727204545
"cost_cb_commune_i1234",0.0899451091422971,2485.23416374082
"leftlet_year1_i1234",0.00747036197333199,206.410320346195
"village_meeting_launch_i1234",0.0772167920031182,2133.5435726363
"video_i1234_peryear",0.0797630201759443,-2203.89729508024
"cost_print_seasonal_bulletinA0_i1234",0.222348952624209,-6143.627136629
"cost_per_SMS_i123",0.15999677720445,-4420.80131525397
"messages_per_time_rice_i123",0.0145845966443222,402.980642199303
"number_times_per_year_rice_i123",0.0595030094674893,1644.10175699545
"baseline_farm_households_i1234",0.0802441584242731,-2217.19141661315
"baseline_households_i1234",0.169736518295562,-4689.91586229762
"household_increase_rate",0.106682080195508,-2947.6861264504
"messages_per_time_animal_i123",0.0280827744911213,775.942919448234
"number_times_per_year_animal_i123",0.00139261685165032,-38.4787901168384
"percent_animal_households_i1234",0.103034975910472,-2846.91457528623
"allowance_village_leader_permonth_loud_i34",0.0915168558274011,2528.66241232283
"percent_short_distance_i4",0.0853865050339051,2359.27735767123
"model_training_i1234",0.287458336043598,-7942.63617221728
"model_monitor_i1234",0.0219044535271961,605.232421895649
"field_visit_i1234",0.0813364438216569,2247.37187903095
"SAA_TOT",0.124188625863148,-3431.4018703879
"dialogue_village",0.0429937156541068,-1187.94064500721
"cost_community_event",0.0625394443417218,-1728.00016745241
"ME_district_i1234",0.109177041819288,-3016.62332519047
"ME_commune_i1234",0.125601187018494,3470.43173287976
"rice_area_drought_i1234",0.126866535837547,3505.39403537901
"chance_drought_i1234",0.1783242098841,-4927.19863094421
"reduce_loss_drought_i1234",0.167378199472602,4624.75418131571
"rice_profit_no_drought",0.335012379704908,-9256.58125559186
"seed_baseline_i1234",4.85090771337594,-134033.31975909
"seed_applied_i1234",2.84982577992011,78742.2957902246
"seed_advice_i1234",0.135335203915813,-3739.38811721609
"price_seed_i1234",0.688861043619731,-19033.6196820383
"labor_pick_i1234",1.38806510996702,-38353.0229234496
"rate_seed_inno_i1",0.0913558121900009,2524.21268566913
"rate_seed_imitation_i1",0.0190839159829933,-527.299376599359
"rate_seed_inno_i2",2.2162727359497,-61236.8673746976
"rate_seed_imitation_i2",0.980760227823413,-27098.9589969686
"rate_seed_inno_i3",0.141421163722667,3907.54662383613
"rate_seed_imitation_i3",0.0790904252641009,2185.31311780577
"rate_seed_inno_i4",0.0226372383357937,-625.479680010771
