"","VIP","Coefficient"
"discount_rate",4.52777892411226,-4035.80999913978
"var_CV",0.07482715181929,66.6967563083152
"var_CV_high",0.101557364476714,90.5225793730126
"chance_inaccurate_forecast_i1",0.0554374816496986,-49.4138840519578
"chance_inaccurate_forecast_i234",0.0126859948538821,11.3075893806744
"chance_inaccurate_forecast_extreme_cold_i1234",0.0287095393337989,-25.5900846432691
"chance_inaccurate_forecast_extreme_drought_i1234",0.026817729755798,23.9038309327124
"met_station_esta_i1",0.117891114635239,105.081574703411
"met_station_main_i1",0.160950608344186,-143.462409585391
"cost_forecasts_access_i1",0.180278358834939,-160.690090088091
"cost_weekly_forecasts_i1234",0.0901180647414283,80.3262245976136
"cost_seasonal_forecasts_i1234",0.000387094044173087,-0.345034075264066
"cost_cb_translation_staff_i1234",0.0462478952870512,41.2227984994312
"cost_cb_commune_i1234",0.072821582392843,-64.9091034036826
"leftlet_year1_i1234",0.00216218753641123,1.92725356642159
"village_meeting_launch_i1234",0.0582851640325894,-51.9521495520779
"video_i1234_peryear",0.053921940712423,-48.0630152548551
"cost_print_seasonal_bulletinA0_i1234",0.101244275877468,-90.2435096302905
"cost_per_SMS_i123",0.119499450001799,106.515155287428
"messages_per_time_rice_i123",0.0279382557974186,-24.9026054486205
"number_times_per_year_rice_i123",0.111383089896702,-99.2806838572247
"baseline_farm_households_i1234",0.000229060055304477,-0.204171377864384
"baseline_households_i1234",0.0305154585305517,-27.1997804508713
"household_increase_rate",0.118259667734513,-105.410082412863
"messages_per_time_animal_i123",0.0734991587834158,65.5130572667328
"number_times_per_year_animal_i123",0.0618561241590714,55.1351045564041
"percent_animal_households_i1234",0.0825847944204136,73.6114869310136
"allowance_village_leader_permonth_loud_i34",9.89716270054835,8821.7796980487
"percent_short_distance_i4",0.162319643621677,-144.682691395674
"model_training_i1234",0.329460009793503,293.662306425883
"model_monitor_i1234",0.0227079711295148,-20.2406209491868
"field_visit_i1234",0.043538084292407,-38.8074238772905
"SAA_TOT",0.00100992480854717,0.900190735684637
"dialogue_village",0.152497410423866,135.927699683842
"cost_community_event",0.0142740732522878,-12.7231140313088
"ME_district_i1234",0.178504679919045,159.109131471514
"ME_commune_i1234",0.0435281739951785,-38.7985903902056
"rice_area_drought_i1234",0.129328184097742,115.275941537846
"chance_drought_i1234",0.0610038291003204,-54.3754162019204
"reduce_loss_drought_i1234",0.184800860008501,164.721195794286
"rice_profit_no_drought",0.0221464222655061,-19.7400875622092
"seed_baseline_i1234",0.0784177888272475,-69.8972501890622
"seed_applied_i1234",0.0489777089025585,43.6560023439435
"seed_advice_i1234",0.0525116208474797,46.8059346622908
"price_seed_i1234",0.253952016384303,-226.358685837655
"labor_pick_i1234",0.209014049947764,-186.303484970896
"rate_seed_inno_i1",0.00381650344658279,3.40181864654317
"rate_seed_imitation_i1",0.0672359748107959,59.9304038450868
"rate_seed_inno_i2",0.152933779737258,136.316654990146
"rate_seed_imitation_i2",0.216586701406452,193.053324790641
"rate_seed_inno_i3",0.019713136685794,-17.5711922963499
"rate_seed_imitation_i3",0.0366920953650354,32.7052905730449
"rate_seed_inno_i4",0.0414408307786602,-36.9380488827572
"rate_seed_imitation_i4",0.0937972563304606,-83.6056511006818
"rate_saturated_i12",0.0216155529523113,19.2669002184062
"rate_saturated_i34",0.0789766828775099,70.3954172229022
"dis_adoption_i123",0.083270211043467,-74.2224291407059
"dis_adoption_i4",0.0137755401525574,-12.2787493875141
"effective_rate",0.103153966470596,-91.94570148201
"chance_resow_i1234",0.0869210899936481,-77.4766193341193
"chance_resow_advice_i1234",0.132230375638301,117.862793465716
"resow_fer_area_percentage_i1234",0.0428610060774795,-38.2039140602691
"labor_seed_fertilize_i1234",0.0551953841919927,-49.1980918595934
"NPK5105_baseline_i1234",0.0445987778019446,-39.752867005933
"NPK5105_applied_i1234",0.00220258545448712,-1.96326202099672
"NPK5105_price_i1234",0.02273225991758,-20.2622706223231
"N_baseline_i1234",0.123457868913236,-110.043469476641
"N_applied_i1234",0.19096166405562,-170.212593451467
"N_price_i1234",0.234412928679745,-208.94263111109
"K_baseline_i1234",0.0422069168530666,-37.620895349228
"K_applied_i1234",0.0346489411920065,30.8841367182527
"K_price_i1234",0.221409405114818,197.352014319288
"rice_area_loss_severe_risks_i1234",0.192444116555363,-171.533969057916
"chance_refertilize_i1234",0.0557552633860261,49.6971369957323
"chance_refertilize_advice_i1234",0.0126768220198824,-11.2994132272454
"rate_fer_pla_inno_i1",0.145890201563629,-130.038401634738
"rate_fer_pla_immi_i1",0.0125819961016976,11.2148906842497
"rate_fer_pla_inno_i2",0.0386120438000054,34.416625693764
"rate_fer_pla_immi_i2",0.0126938017739536,11.3145480344902
"rate_fer_pla_inno_i3",0.0501291820658286,-44.6823614007691
"rate_fer_pla_immi_i3",0.0263170539810779,23.4575564277489
"rate_fer_pla_inno_i4",0.106039254212207,94.5174863048021
"rate_fer_pla_immi_i4",0.0779729908495737,-69.5007820407757
"reduced_times_spray_i1234",0.107461213169449,-95.7849413361072
"reduced_cost_per_time_spray_i1234",0.125844152347025,112.170469646985
"times_monitor_increased",0.0088331146291164,-7.8733464997356
"cost_monitor_pest_increased",0.0593469997349754,52.8986107678214
"yield_change_i1234",0.169324494284537,150.926425204562
"rice_price",0.20291493735052,180.867075636785
"rate_ani_inno_i1",0.115966752640153,103.366305580978
"rate_ani_immi_i1",0.110777408353915,-98.7408130579556
"rate_ani_inno_i2",0.052213489701131,-46.5401971601611
"rate_ani_immi_i2",0.030766190739738,27.4232691798708
"rate_ani_inno_i3",0.145307634013519,-129.519133361416
"rate_ani_immi_i3",0.0380717881472711,-33.935071889583
"rate_ani_inno_i4",0.165458095869853,147.480132961904
"rate_ani_immi_i4",0.255135586389506,227.413654232035
"total_buffalo_i1234",0.0577022269267521,-51.4325518773595
"price_buffalo_i1234",0.103252558682857,-92.0335810898153
"chance_extreme_cold",0.170095807967445,151.613931270147
"reduced_death_animal_i1",0.0715850784096901,63.8069526090381
"reduced_death_animal_i2",0.0352838744985149,31.4500809107898
"reduced_death_animal_i3",0.209556468569666,-186.786966725346
"reduced_death_animal_i4",0.115403620407127,-102.86436086703
"total_cow_i1234",0.137115518471507,-122.217137753262
"price_cow_i1234",0.0942304647219684,83.9917889372373
"area_pond_impacted_i1234",0.0461568247532456,-41.1416232969489
"chance_reduced_risk_fish_death",0.0974527159880231,86.8639242815737
"lost_fish_i1234",0.129220802367808,115.18022744344
"reduced_water_expenditure_i1234",0.293303377785072,261.434298071113
"percent_pollution_reduction_i1234",0.220061248909202,-196.150342951004
"new_income_farm_peryear_i12",0.00759767929612645,6.77214824033758
"rate_farm",0.0985310920347866,-87.82512863923
"new_income_nonfarm_peryear_i12",0.147345545180278,131.335613892381
"rate_nonfarm",0.00319541528984637,2.848215249532
"gender_coverage",0.0352351216350742,-31.4066253231699
"reduced_expenditure_health_i1234",0.103833107237144,92.5510497426903
"methan_reduction_co2eq",0.072679516957328,-64.7824741855177
"nito_oxide_reduction_co2eq",0.0958171788927088,85.4060975912992
"carbon_price",0.0771562527152652,-68.7727871487179
