"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.NPV_Intervention1","-7.2e+05","  876248"," 1166646"," 1694726"," 2376946","3145869","3889517","4443396","7.6e+06"," 2477914","0.0030","0.00","0.9970"
"y.NPV_Hydromet_Intervention1"," 4.5e+04","   47534","   47954","   48662","   49473","  50280","  51022","  51482","5.4e+04","   49480","0.0000","0.00","1.0000"
"y.NPV_DARD_Intervention1"," 3.5e+03","    4026","    4117","    4272","    4450","   4640","   4813","   4923","5.6e+03","    4460","0.0000","0.00","1.0000"
"y.NPV_ASC_Intervention1"," 1.8e+05","  212066","  215938","  222034","  228883"," 235896"," 242465"," 246974","2.8e+05","  229080","0.0000","0.00","1.0000"
"y.NPV_SMSP_Intervention1"," 2.0e+05","  297378","  315497","  347048","  384908"," 425303"," 465142"," 489336","7.1e+05","  387988","0.0000","0.00","1.0000"
"y.NPV_SS_Intervention1","-3.3e+06","-1852767","-1650839","-1354195","-1073477","-826997","-632084","-519520","1.5e+05","-1112791","0.9996","0.00","0.0004"
"y.NPV_FS_Intervention1","-2.9e+06","-1433317","-1234585"," -932858"," -636163","-370392","-145733","  -6997","7.4e+05"," -668309","0.9514","0.00","0.0486"
"y.NPV_PPS_Intervention1","-2.8e+06","-1028848"," -892682"," -682563"," -482514","-320205","-192753","-126772","4.7e+05"," -519512","0.9908","0.00","0.0092"
"y.NPV_WU_NGO_Intervention1"," 1.8e+05","  185305","  186779","  189217","  191856"," 194616"," 197008"," 198488","2.1e+05","  191902","0.0000","0.00","1.0000"
"y.NPV_Rice_Intervention1"," 9.2e+04"," 1675365"," 1968831"," 2486291"," 3170645","3929920","4670043","5230059","8.3e+06"," 3261567","0.0000","0.00","1.0000"
"y.NPV_AH_Intervention1","-4.0e+05","  -76260","  -44432","       0","   53834"," 113644"," 184047"," 231344","7.4e+05","   62304","0.1770","0.14","0.6838"
"y.NPV_Fish_Intervention1"," 6.3e-01","     998","    1271","    1805","    2577","   3516","   4641","   5468","1.3e+04","    2804","0.0000","0.00","1.0000"
"y.NPV_Public_Intervention1","-6.8e+04","   -8117","   -2139","    1461","    9169","  22847","  39319","  51693","1.7e+05","   14148","0.1656","0.00","0.8344"
"y.NPV_One_RiceHH_Intervention1"," 3.5e+00","      81","      96","     121","     154","    191","    227","    254","4.3e+02","     159","0.0000","0.00","1.0000"
"y.NPV_Intervention2","-7.3e+05","  434284","  692182"," 1157585"," 1733538","2379729","3064443","3521036","6.7e+06"," 1823961","0.0098","0.00","0.9902"
"y.NPV_Hydromet_Intervention2"," 7.3e+03","    8271","    8482","    8828","    9228","   9670","  10091","  10353","1.2e+04","    9262","0.0000","0.00","1.0000"
"y.NPV_DARD_Intervention2"," 3.5e+03","    4026","    4117","    4272","    4450","   4640","   4813","   4923","5.6e+03","    4460","0.0000","0.00","1.0000"
"y.NPV_ASC_Intervention2"," 1.8e+05","  212066","  215938","  222034","  228883"," 235896"," 242465"," 246974","2.8e+05","  229080","0.0000","0.00","1.0000"
