"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"NPV_Intervention1","  876248"," 2376946","4443396"," 2477914","7.7e+02","2478689","7.7e+02","PA"
"NPV_Hydromet_Intervention1","   47534","   49473","  51482","   49480","0.0e+00","  49480","0.0e+00","PA"
"NPV_DARD_Intervention1","    4026","    4450","   4923","    4460","0.0e+00","   4460","0.0e+00","PA"
"NPV_ASC_Intervention1","  212066","  228883"," 246974","  229080","0.0e+00"," 229080","0.0e+00","PA"
"NPV_SMSP_Intervention1","  297378","  384908"," 489336","  387988","0.0e+00"," 387988","0.0e+00","PA"
"NPV_SS_Intervention1","-1852767","-1073477","-519520","-1112791","1.1e+06","     33","3.3e+01","SQ"
"NPV_FS_Intervention1","-1433317"," -636163","  -6997"," -668309","6.8e+05","   7447","7.4e+03","SQ"
"NPV_PPS_Intervention1","-1028848"," -482514","-126772"," -519512","5.2e+05","    629","6.3e+02","SQ"
"NPV_WU_NGO_Intervention1","  185305","  191856"," 198488","  191902","0.0e+00"," 191902","0.0e+00","PA"
"NPV_Rice_Intervention1"," 1675365"," 3170645","5230059"," 3261567","0.0e+00","3261567","0.0e+00","PA"
"NPV_AH_Intervention1","  -76260","   53834"," 231344","   62304","1.1e+04","  73078","1.1e+04","PA"
"NPV_Fish_Intervention1","     998","    2577","   5468","    2804","0.0e+00","   2804","0.0e+00","PA"
"NPV_Public_Intervention1","   -8117","    9169","  51693","   14148","1.2e+03","  15302","1.2e+03","PA"
"NPV_One_RiceHH_Intervention1","      81","     154","    254","     159","0.0e+00","    159","0.0e+00","PA"
"NPV_Intervention2","  434284"," 1733538","3521036"," 1823961","2.0e+03","1825957","2.0e+03","PA"
"NPV_Hydromet_Intervention2","    8271","    9228","  10353","    9262","0.0e+00","   9262","0.0e+00","PA"
"NPV_DARD_Intervention2","    4026","    4450","   4923","    4460","0.0e+00","   4460","0.0e+00","PA"
"NPV_ASC_Intervention2","  212066","  228883"," 246974","  229080","0.0e+00"," 229080","0.0e+00","PA"
"NPV_SMSP_Intervention2","  297378","  384908"," 489336","  387988","0.0e+00"," 387988","0.0e+00","PA"
"NPV_SS_Intervention2","-1505349"," -844201","-395448"," -885772","8.9e+05","     21","2.1e+01","SQ"
"NPV_FS_Intervention2","-1150337"," -469533","  33577"," -501957","5.1e+05","   8594","8.6e+03","SQ"
"NPV_PPS_Intervention2"," -869429"," -393957","-100959"," -428040","4.3e+05","    510","5.1e+02","SQ"
"NPV_WU_NGO_Intervention2","  185305","  191856"," 198488","  191902","0.0e+00"," 191902","0.0e+00","PA"
"NPV_Rice_Intervention2"," 1203785"," 2497299","4290401"," 2589596","0.0e+00","2589596","0.0e+00","PA"
"NPV_AH_Intervention2","  -52788","   32050"," 174991","   42997","7.7e+03","  50732","7.7e+03","PA"
"NPV_Fish_Intervention2","     796","    2107","   4584","    2316","0.0e+00","   2316","0.0e+00","PA"
"NPV_Public_Intervention2","   -6569","    7421","  43606","   11744","9.5e+02","  12696","9.5e+02","PA"
"NPV_One_RiceHH_Intervention2","      58","     121","    208","     126","0.0e+00","    126","0.0e+00","PA"
"NPV_Intervention3","  957405"," 2585057","4930915"," 2721044","4.6e+02","2721502","4.6e+02","PA"
"NPV_Hydromet_Intervention3","    8271","    9228","  10353","    9262","0.0e+00","   9262","0.0e+00","PA"
"NPV_DARD_Intervention3","    4026","    4450","   4923","    4460","0.0e+00","   4460","0.0e+00","PA"
"NPV_ASC_Intervention3","  212066","  228883"," 246974","  229080","0.0e+00"," 229080","0.0e+00","PA"
"NPV_SMSP_Intervention3","    5003","    6361","   7947","    6393","0.0e+00","   6393","0.0e+00","PA"
"NPV_SS_Intervention3","-2019778","-1151527","-540951","-1199025","1.2e+06","     26","2.6e+01","SQ"
"NPV_FS_Intervention3","-1629076"," -700310","  47280"," -733060","7.5e+05","  12637","1.3e+04","SQ"
"NPV_PPS_Intervention3","-1248620"," -581533","-151753"," -626997","6.3e+05","    779","7.8e+02","SQ"
"NPV_Village_Leader_Intervention3","   58640","   74469","  92112","   74832","0.0e+00","  74832","0.0e+00","PA"
"NPV_WU_NGO_Intervention3","       0","       0","      0","       0","0.0e+00","      0","0.0e+00","PA"
"NPV_Rice_Intervention3"," 1182810"," 2786830","5075833"," 2913511","1.8e+02","2913686","1.8e+02","PA"
"NPV_Fish_Intervention3","    1211","    3089","   6595","    3386","0.0e+00","   3386","0.0e+00","PA"
"NPV_AH_Intervention3"," -130769","   83759"," 438589","  111068","1.9e+04"," 130063","1.9e+04","PA"
"NPV_Public_Intervention3","   -9871","   11230","  63645","   17106","1.4e+03","  18528","1.4e+03","PA"
"NPV_One_RiceHH_Intervention3","      58","     136","    248","     142","8.6e-03","    142","8.6e-03","PA"
"NPV_Intervention4","  220167"," 1206086","2678720"," 1297006","3.1e+03","1300073","3.1e+03","PA"
"NPV_Hydromet_Intervention4","    8271","    9228","  10353","    9262","0.0e+00","   9262","0.0e+00","PA"
"NPV_DARD_Intervention4","    4026","    4450","   4923","    4460","0.0e+00","   4460","0.0e+00","PA"
"NPV_ASC_Intervention4","  212066","  228883"," 246974","  229080","0.0e+00"," 229080","0.0e+00","PA"
"NPV_SMSP_Intervention4","       0","       0","      0","       0","0.0e+00","      0","0.0e+00","PA"
"NPV_SS_Intervention4","-1197286"," -656013","-294518"," -690572","6.9e+05","     29","2.9e+01","SQ"
"NPV_FS_Intervention4","-1013525"," -419204","  31074"," -444639","4.5e+05","   7680","7.7e+03","SQ"
"NPV_PPS_Intervention4"," -771529"," -348205"," -88182"," -379822","3.8e+05","    462","4.6e+02","SQ"
"NPV_Village_Leader_Intervention4","  235793","  265746"," 300199","  266586","0.0e+00"," 266586","0.0e+00","PA"
"NPV_WU_NGO_Intervention4","       0","       0","      0","       0","0.0e+00","      0","0.0e+00","PA"
"NPV_Rice_Intervention4","  693946"," 1666808","3134167"," 1761842","1.3e+02","1761967","1.3e+02","PA"
"NPV_AH_Intervention4","  -38249","   23468"," 128752","   32162","5.5e+03","  37617","5.5e+03","PA"
"NPV_Fish_Intervention4","     720","    1868","   4030","    2052","0.0e+00","   2052","0.0e+00","PA"
"NPV_Public_Intervention4","   -5760","    6710","  37962","   10338","8.5e+02","  11188","8.5e+02","PA"
"NPV_One_RiceHH_Intervention4","      34","      82","    155","      87","6.8e-03","     87","6.8e-03","PA"
