variable,distribution,lower   , upper ,description ,Label
n_years,const,5,5,Number of year of intervention (year),Number of years
discount_rate,posnorm,4,15,Percentage to discount future cost and benefit to present value (%),Discount rate
var_CV,posnorm,2,10,Variation of variable (%),Coefficient of variation
var_CV_high,posnorm,10,40,High variation of variable (%),Coefficient of variation high
exchange_rate,const,23240,23240,Rate of 1USD to VND,Exchange rate
chance_inaccurate_forecast_i1,tnorm_0_1,0.2,0.3,Chance of inaccurate forecast intervention 1 (%),Percent inaccurate forecast i1
chance_inaccurate_forecast_i234,tnorm_0_1,0.35,0.4,"Chance of inaccurate forecast intervention 2,3,4 (%)",Percent inaccurate forecast i234
chance_inaccurate_forecast_extreme_cold_i1234,tnorm_0_1,0.2,0.25,Chance of inaccurate forecast for extreme cold risk (%),Percent inaccurate extreme cold i1234
chance_inaccurate_forecast_extreme_drought_i1234,tnorm_0_1,0.2,0.35,Chance of inaccurate forecast for extreme drought risk (%),Percent inaccurate extreme drought i1234
met_station_esta_i1,posnorm,695800000,765380000,Total cost to establish miniweather station (VND),Establish station cost
met_station_main_i1,posnorm,14700000,16170000,Total cost to maintain miniweather station (VND),Maintain station cost
cost_forecasts_access_i1,posnorm,132450000,145695000,Total cost to support farmers accessing weather forecast (VND),Weather data access cost
cost_weekly_forecasts_i1234,posnorm,24000000,27000000,Cost to buy weekly weather forecast from Meteoroligical Station(VND)/year,Weekly forecast cost
cost_seasonal_forecasts_i1234,posnorm,24000000,27000000,Cost to provide seasonal weather forecast from Meteoroligical Station(VND)/year,Seasonal forecast cost
cost_cb_translation_staff_i1234,posnorm,8050000,8855000,Cost for training technical working group on reading forecast and producing advice (VND/training),Training technical working group
cb_translation_n12,const,4,4,Number of capacity building trainings in year 1 and 2 (training),"Number of tranings year 1,2"
cb_translation_n345,const,2,2,Number of capacity building trainings in year 3 to 5 (training),"Number of tranings year 3,4,5"
cost_cb_commune_i1234,posnorm,16450000,18095000,"Cost for introducing and training commune, village levels about the service (VND/commue)","Training commune, village"
n_communes,const,21,21,Number of communes (commune),Number of communes 
leftlet_year1_i1234,posnorm,5000,5500,Price of project leaflet printed (VND/leaflet),Price leaflet
village_meeting_launch_i1234,posnorm,10000000,11000000,Cost to launch project in each village (VND/village),Launch project village
n_village,const,275,275,Total number of villages (village),Total villages
video_i1234_peryear,posnorm,46000000,50600000,"Costs to produce video about service, good practices and lessons learnt (VND/year)",Video cost
cost_print_seasonal_bulletinA0_i1234,posnorm,35000,40000,Costs to print seasonal bulletin (VND/bulletin),Seasonal bulletin cost
n_print_per_year,const,4,4,Number of seasonal bulletin per year (bulletin),No. seasonal bulletin per year
n_per_village,const,4,4,Number of seasonal bulletin per village (bulletin),No. seasonal bulletin per village
cost_per_SMS_i123,posnorm,680,800,Cost to send one message by phone (VND),Cost per SMS
messages_per_time_rice_i123,posnorm,2,3,Number of messages needed to send for rice weekly bulletin per time (message/time),Messages per weekly bulletin
number_times_per_year_rice_i123,posnorm,48,53,Number of times to send rice weekly bulletin per year (time),No. weekly bulletin per year
baseline_farm_households_i1234,posnorm,18400,18440,Total farmhouseholds in the district before project intervention (household),Total farmhouseholds
baseline_households_i1234,posnorm,23000,23050,Total households in the district before project intervention (household),Total households
household_increase_rate,norm,0.02,0.05,Rate to increase households in five years (related to population increase),Population increase rate
messages_per_time_animal_i123,posnorm,2,3,Number of messages needed to send animal bulletin per time (message/time),No. messages animal per time
number_times_per_year_animal_i123,posnorm,12,24,Number of times to animal bulletin per year (time),No animal bulletin per year
percent_animal_households_i1234,posnorm,0.3,0.4,Percentage of households having animal (%),Households having animal
commune_village_SMS_i3,const,278,278,Number of commune and village staff receiving message (person),No. staff receiving message i3
